student_id	hours_studied_1	sleep_hours_1	attendance_percent_1	previous_scores_1	exam_score_1	hours_studied_2	sleep_hours_2	attendance_percent_2	previous_scores_2	exam_score_2	attendance_mark	final_score	result_status	grade	exam_room	invigilator_name	exam_date	remarks	Attendance (10%)	Gender	Attendance Marks	Year	attendance_percent	exam_score	attendance_mark_10	attendance_band	final_mark_with_attendance	attendance_mark_assigned
S001	8	8.8	72.1	45	30.2	8	8.8	72.1	45	30.2	7.21	37.41	Fail	F	Room C	Mr. Lee	3/10/2025	Failed - Must Reappear		Male	72.1	2025	72.1	30.2	7	70â€“79%	37.2	7
S002	1.3	8.6	60.7	55	25	1.3	8.6	60.7	55	25	6.07	31.07	Fail	F	Room D	Mrs. Brown	3/10/2025	Failed - Must Reappear		Female	60.7	2023	60.7	25	6	<70%	31	6
S003	4	8.2	73.7	86	35.8	4	8.2	73.7	86	35.8	7.37	43.17	Pass	D	Room A	Mr. Lee	3/10/2025	Needs Improvement		Male	73.7	2025	73.7	35.8	7	70â€“79%	42.8	7
S004	3.5	4.8	95.1	66	34	3.5	4.8	95.1	66	34	9.51	43.51	Pass	D	Room C	Mr. Smith	3/10/2025	Needs Improvement		Male	95.1	2025	95.1	34	10	90â€“100%	44	10
S005	9.1	6.4	89.8	71	40.3	9.1	6.4	89.8	71	40.3	8.98	49.28	Pass	D	Room C	Mrs. Brown	3/10/2025	Needs Improvement		Male	89.8	2023	89.8	40.3	9	80â€“89%	49.3	9
S006	8.4	5.1	58.5	75	35.7	8.4	5.1	58.5	75	35.7	5.85	41.55	Pass	D	Room D	Mr. Smith	3/10/2025	Needs Improvement		Female	58.5	2023	58.5	35.7	6	<70%	41.7	5
S007	10.8	6	54.2	88	37.9	10.8	6	54.2	88	37.9	5.42	43.32	Pass	D	Room A	Mrs. Brown	3/10/2025	Needs Improvement		Male	54.2	2025	54.2	37.9	5	<70%	42.9	5
S008	2	4.3	75.8	55	18.3	2	4.3	75.8	55	18.3	7.58	25.88	Fail	F	Room A	Mrs. Brown	3/10/2025	Failed - Must Reappear		Male	75.8	2024	75.8	18.3	8	70â€“79%	26.3	7
S009	5.6	5.9	81.6	84	34.7	5.6	5.9	81.6	84	34.7	8.16	42.86	Pass	D	Room C	Ms. Johnson	3/10/2025	Needs Improvement		Male	81.6	2025	81.6	34.7	8	80â€“89%	42.7	9
S010	1.3	8.9	66.8	70	24.7	1.3	8.9	66.8	70	24.7	6.68	31.38	Fail	F	Room B	Mr. Smith	3/10/2025	Failed - Must Reappear		Female	66.8	2025	66.8	24.7	7	<70%	31.7	6
